"Symbol","Name","Category1","Category2","Category3","Morningstar Category","Style","Market cap","Current yield","Fees","Action"
"VITSX","Vanguard Total Stock Market Index Fund Institutional Shares","US Equity","Broad market","Total market","Large Blend","CRSP US Total Market Index","$1,100,000,000,000","0.00%","0.04%","Analyze"
"VSMPX","Vanguard Total Stock Market Index Fund Institutional Plus Shares","US Equity","Broad market","Total market","Large Blend","CRSP US Total Market Index","$1,100,000,000,000","0.00%","0.02%","Analyze"
"VSTSX","Vanguard Total Stock Market Index Fund Institutional Select Shares","US Equity","Broad market","Total market","Large Blend","CRSP US Total Market Index","$1,100,000,000,000","0.00%","0.01%","Analyze"
"VFIAX","Vanguard 500 Index Fund Admiral Shares","US Equity","Broad market","Large cap","Large Blend","S&P 500 Index","$416,469,920,000","0.00%","0.04%","Analyze"
"VTISX","Vanguard Total Intl Stock Idx Fund","Global Equity","Global ex-US","Multi-cap","Foreign Large Blend","FTSE Global All Cap ex US Index","$381,800,000,000","0.00%","0.05%","Analyze"
"VTPSX","Vanguard Total International Stock Index Fund Institutional Plus Shares","Global Equity","Global ex-US","Multi-cap","Foreign Large Blend","FTSE Global All Cap ex US Index","$381,800,000,000","0.00%","0.07%","Analyze"
"VTSNX","Vanguard Total International Stock Index Fund Institutional Shares","Global Equity","Global ex-US","Multi-cap","Foreign Large Blend","FTSE Global All Cap ex US Index","$381,800,000,000","0.00%","0.08%","Analyze"
"VTSAX","Vanguard Total Stock Market Index Fund Admiral Shares","US Equity","Broad market","Total market","Large Blend","CRSP US Total Market Index","$323,850,850,000","0.00%","0.04%","Analyze"
"VBMPX","Vanguard Total Bond Market Index Fund Institutional Plus Shares","US Fixed Income","Broad market","Investment grade","Intermediate-Term Bond","Bloomberg Barclays U.S. Aggregate Float Adjusted Index","$302,900,000,000","0.00%","0.03%","Analyze"
"VBTIX","Vanguard Total Bond Market Index Fund Institutional Shares","US Fixed Income","Broad market","Investment grade","Intermediate-Term Bond","Bloomberg Barclays U.S. Aggregate Float Adjusted Index","$302,900,000,000","0.00%","0.04%","Analyze"
"VTBSX","Vanguard Instl Total Bond Market Index Trust","US Fixed Income","Corporate bonds","Investment grade","Intermediate-Term Bond","","$302,900,000,000","0.00%","0.01%","Analyze"
"FXAIX","Proxy Error","US Equity","Broad market","Large cap","Large Blend","S&P 500 Index","$292,200,000,000","0.00%","0.02%","Analyze"
"VIIIX","Vanguard Institutional Index Fund Institutional Plus Shares","US Equity","Broad market","Large cap","Large Blend","","$261,800,000,000","0.00%","0.02%","Analyze"
"VINIX","Vanguard Institutional Index Fund Institutional Shares","US Equity","Broad market","Large cap","Large Blend","","$261,800,000,000","0.00%","0.04%","Analyze"
"VTBIX","Vanguard Total Bond Market II Index Fund Investor Shares","US Fixed Income","Corporate bonds","Investment grade","Intermediate-Term Bond","","$230,800,000,000","0.00%","0.09%","Analyze"
"VTBNX","Vanguard Total Bond Market II Index Fund Institutional Shares","US Fixed Income","Corporate bonds","Investment grade","Intermediate-Term Bond","","$230,800,000,000","0.00%","0.02%","Analyze"
"VSIBX","Vanguard Total International Bond Index Fund Institutional Select Shares","Global Fixed Income","Global","Investment grade","World Bond","Bloomberg Barclays Global Aggregate ex-USD Float Adjusted RIC Capped Index Hedged","$167,600,000,000","0.00%","0.03%","Analyze"
"AFMBX","American Funds American Balanced Fund Class F-3","Asset Allocation","US","Moderate","Allocation--50% to 70% Equity","n/a - Actively managed","$153,100,000,000","0.47%","0.29%","Analyze"
"AMBFX","American Funds American Balanced Fund Class F-2","Asset Allocation","US","Moderate","Allocation--50% to 70% Equity","n/a - Actively managed","$153,100,000,000","0.82%","0.39%","Analyze"
"CLBAX","American Funds American Balanced Fund Class 529-A","Asset Allocation","US","Moderate","Allocation--50% to 70% Equity","n/a - Actively managed","$153,100,000,000","0.00%","0.66%","Analyze"
